grid_id,optimized_energy
0,451.21749456767816
1,444.0715900874856
2,467.68459992406457
3,457.8853050418371
4,470.6080614468016
5,460.3166346092363
6,450.6316705266282
7,452.10986908693405
8,450.14187368468816
9,469.6587946820739
10,471.93883302272366
11,452.9320612967541
12,460.4735843532045
13,463.3029324816061
14,466.2685175843462
15,452.7123086236188
16,448.12111576718553
17,447.46190284857295
18,454.95604051165714
19,463.7027113231889
20,443.7328901901906
21,452.7520416744962
22,464.58090938298153
23,447.1632252704832
24,452.823836646704
25,456.3640526983662
26,444.3023661522196
27,463.57279147016106
28,442.3209471059189
29,463.6522274446595
30,444.0963933694799
31,455.40680994654446
32,446.5158215788019
33,447.799083495271
34,460.1615221956025
35,448.6485100131909
36,462.05459904455387
37,460.5424637726422
38,472.1812028718916
39,451.1832476175735
40,463.321192033232
41,461.8798536279197
42,472.495986426126
43,462.0437094969907
44,460.41454555067935
45,449.5802726260863
46,469.0813680629623
47,469.5227494881575
48,457.85163980733904
49,457.5147168793158
50,455.3624374878339
51,446.6472287526273
52,457.6978714910304
53,448.7869502227057
54,449.7239952765008
55,472.6035467546749
56,451.5516194109697
57,468.9418920827195
58,449.6785282697513
59,447.0707720392623
60,466.57609583326126
61,467.2409258570738
62,470.9627533982807
63,454.39965070045264
64,452.88242687092
65,464.3032278074596
66,473.14608059077926
67,474.9999860624177
68,457.3063414224559
69,463.14472289880064
70,455.4471420983328
71,457.5884085365559
72,479.0492039556187
73,465.1374080855345
74,476.9104367279189
75,477.9519796265703
76,456.881916517808
77,455.3803850158825
78,466.5912195116821
79,480.85909692038496
80,469.9985860785551
81,481.7740512147581
82,461.5039362870384
83,459.6823336602424
84,469.310851776021
85,480.535088254491
86,462.23680984159375
87,464.5162511766911
88,465.4404489049029
89,467.5391750810064
90,478.45484928382695
91,469.7779378465564
92,470.6833140406902
93,480.6955003628166
94,481.2477740296859
95,469.4117954291389
96,490.4976274512746
97,472.8741393129047
98,475.2221190243908
99,482.2648669672847
100,470.3841880880057
101,478.42184532877
102,476.3558756386809
103,477.6040196839682
104,467.8228854974696
105,469.9155437612982
106,479.6816616683285
107,479.8277618002297
108,472.5876911593644
109,486.4154196156755
110,496.9085796926887
111,497.0708876486409
112,485.8087010568156
113,473.9241255113375
114,496.98795904455295
115,500.4711738235093
116,492.4921402551813
117,493.2852000861008
118,492.2956812251401
119,505.8440913520151
120,497.2879691638096
121,505.0105805265173
122,492.5498326666686
123,485.64689737572354
124,486.53213304711386
125,484.8769883043698
126,484.5648972203167
127,493.84871161148646
128,506.2281835329759
129,485.4213202148922
130,495.6122699389894
131,492.12540935768334
132,492.6226912826879
133,486.0043584570556
134,495.13376286828736
135,502.9472410985187
136,488.3359369778765
137,489.0091882632105
138,503.9880291749033
139,492.9655290863936
140,501.2557665659156
141,491.22061454256783
142,491.6652303667803
143,499.1741888554122
144,478.7932947202212
145,491.8052542733874
146,503.8805637001992
147,482.6608602213919
148,507.1459857658959
149,485.08810349782175
150,497.9856820127634
151,484.4298581177474
152,496.9897107721692
153,507.960882031692
154,496.6927509940449
155,488.3505822655275
156,487.8897819615897
157,498.4728854231212
158,501.4451421339925
159,515.093029725562
160,503.9149687111968
161,504.42474690633287
162,502.089243659028
163,502.4137907377675
164,511.57445898807447
165,501.56121224063554
166,493.6620396536102
167,505.85368678093175
168,513.1858805882578
169,501.5147117715138
170,515.1420081507316
171,496.4484827250652
172,498.33504639314674
173,514.3705583234951
174,513.1809573815453
175,512.5065925165932
176,503.39033414174753
177,488.24923870048593
178,499.0377705644387
179,493.1749023453978
180,508.9147098251743
181,496.5103096463232
182,506.7010960254098
183,496.25496740475126
184,504.2150648175208
185,483.2513653120503
186,488.660779214255
187,488.2705175056064
188,498.6117928522492
189,499.4656229702533
190,510.25853943250974
191,515.168642326252
192,494.6701784108506
193,504.62459478699344
194,516.3920958700278
195,518.0957005704464
196,499.1318003854653
197,521.6021457120993
198,512.1416238514323
199,523.6316757305709
200,506.013948090304
201,518.8213959747468
202,526.2070988936845
203,519.5262771823258
204,512.9680559537596
205,524.2101019222677
206,525.3335269250535
207,522.5647004812566
208,512.5812907725192
209,530.1416008521779
210,509.14646753983095
211,517.8682947169023
212,505.8143279753597
213,503.0136001307585
214,500.6978793579637
215,510.1112168645222
216,512.3590832310072
217,524.0987304820045
218,505.2977636482135
219,514.0095402082568
220,516.7568361595154
221,517.322501818124
222,507.1838900445849
223,519.3754193232323
224,519.8668885948218
225,531.8537927294675
226,530.0243858243279
227,511.00672721989486
228,529.7568343445274
229,528.4376073579448
230,519.8618263128596
231,522.4298746120693
