timestamp,energy_consumption
2012-01-01 00:00:00,452.9835707650562
2012-01-01 01:00:00,452.7922492592002
2012-01-01 02:00:00,456.5306919497037
2012-01-01 03:00:00,464.6458412317438
2012-01-01 04:00:00,463.97507435812713
2012-01-01 05:00:00,463.3043895733812
2012-01-01 06:00:00,471.70045365091823
2012-01-01 07:00:00,476.03762729668273
2012-01-01 08:00:00,474.190255367008
2012-01-01 09:00:00,477.4030555849378
2012-01-01 10:00:00,475.5859671208755
2012-01-01 11:00:00,473.7573183530242
2012-01-01 12:00:00,475.4671297108544
2012-01-01 13:00:00,466.4007284875654
2012-01-01 14:00:00,458.27613932500026
2012-01-01 15:00:00,455.9647016787954
2012-01-01 16:00:00,451.4005460771232
2012-01-01 17:00:00,453.4717827400996
2012-01-01 18:00:00,449.4316623624936
2012-01-01 19:00:00,442.8701438558171
2012-01-01 20:00:00,450.69838770042486
2012-01-01 21:00:00,450.0695061979922
2012-01-01 22:00:00,450.90714722143184
2012-01-01 23:00:00,444.28340629036455
2012-01-02 00:00:00,442.0614926677386
2012-01-02 01:00:00,443.116105616288
2012-01-02 02:00:00,437.8611377291765
2012-01-02 03:00:00,440.2396278209048
2012-01-02 04:00:00,437.7364343713108
2012-01-02 05:00:00,436.7779656223444
2012-01-02 06:00:00,434.2694325611974
2012-01-02 07:00:00,444.0308234837421
2012-01-02 08:00:00,444.4633373600525
2012-01-02 09:00:00,439.6747827152729
2012-01-02 10:00:00,444.28750727578887
2012-01-02 11:00:00,438.6832890259337
2012-01-02 12:00:00,440.2276070009575
2012-01-02 13:00:00,430.9292563815587
2012-01-02 14:00:00,424.7883261370665
2012-01-02 15:00:00,426.2726323164121
2012-01-02 16:00:00,430.4649652163892
2012-01-02 17:00:00,431.821806622339
2012-01-02 18:00:00,431.7435652103978
2012-01-02 19:00:00,430.7380467324514
2012-01-02 20:00:00,423.8454367806143
2012-01-02 21:00:00,420.7462157386407
2012-01-02 22:00:00,418.94302188384177
2012-01-02 23:00:00,424.7286330149364
2012-01-03 00:00:00,426.94672446277866
2012-01-03 01:00:00,418.63152368596496
2012-01-03 02:00:00,420.7519435329389
2012-01-03 03:00:00,419.3265321308573
2012-01-03 04:00:00,416.4419221293276
2012-01-03 05:00:00,420.0003035735319
2012-01-03 06:00:00,425.6553011860117
2012-01-03 07:00:00,430.8117017815927
2012-01-03 08:00:00,427.1156141654795
2012-01-03 09:00:00,426.06955228622337
2012-01-03 10:00:00,428.2258694432412
2012-01-03 11:00:00,433.603595078853
2012-01-03 12:00:00,431.70772388962655
2012-01-03 13:00:00,431.27942900630745
2012-01-03 14:00:00,426.2477541362773
2012-01-03 15:00:00,420.766721015874
2012-01-03 16:00:00,425.329350127845
2012-01-03 17:00:00,432.6105502706991
